Species_measured,Terminal_name,N,Size,Error,References
Abatus_cordatus,Schizasteridae,9,4.019003915939108,0.01353828141230309,"Koehler (1917) - Echinodermes (Ast‚ries, Ophiures et Echinides); Schultz (2017) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa)"
Abertella_aberti,Abertella_aberti,13,5.039188804713258,0.0048534016719881164,"Clark & Twitchell (1915) - The Mesozoic and Cenozoic Echinodermata from the United States; Cooke (1942) - Cenozoic Irregular Echinoids of Eastern United States; Cooke (1959) - Cenozoic echinoids of Eastern United States; Durham (1966) - Clypeasteroids. In: Treatise on Invertebrate Paleontology - Echinodermata 3, 2; NMNH Paleobiology; Solovjev (2016) - Morphological similarity between echinoid taxa as a result of convergent and parallel evolution"
Acropeltis_aequituberculata,Acropeltis_aequituberculata,9,2.8202108074698815,0.0065566517038039345,"MCZ Invertebrate Paleontology; NHM; Radwanska (1999) - Lower Kimmeridgian echinoids of Poland; The Echinoid Directory; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Acrosalenia_spinosa,Acrosalenia_spinosa,49,2.81958988368769,0.002233988267061481,"Cotteau (1849) - Etudes due les Echinides fossiles de department de l'Yonne; D‚sor & de Loriol (1923) - Echinologie Helv‚tique: Description Des Oursins Fossiles De La Suisse; MCZ Invertebrate Paleontology; NMNH Paleobiology; Radwanska & Poirot (2010) - Copepod infested Bathonian (Middle Jurassic) echinoids from northern France; Smith (2016) - British Jurassic regular echinoids, vol 2; The Echinoid Directory; Wright (1857) - Monograph on the British fossil Echinodermata of the oolitic formations; YPM Invertebrate Paleontology; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Adelopneustes_montainvillensis,Adelopneustes_montainvillensis,10,3.584830979808311,0.004188262937265095,"Endelman, L. G. 1980. [To a revision of the order Holectypoida (Echinoidea)].ÿByulleten' Moskovskogo Obschchestva Ispytatelei Prirody (Otdel Geologischeskii)ÿ55(1), 93-103, pl. 1 [in Russian]; Jagt (2000) - Late Cretaceous-Early Palaeogene echinoderms and the K/T boundary in the southeast Netherlands and northeast Belgium ? Part 4: Echinoids; Kroh (2001) - Echinoids from the Danian (Lower Paleocene) Bruderndorf formation of Austria; Kroh (2004) - Cottreaucorys kollmanni n. sp. (Echinodermata: Echinoidea) and other new records from the Early Paleocene Brunderndof Formation in Austria; Smith & Jeffery (2000) - Maastrichtian and Palaeocene echinoids: a key to world faunas"
Aeropsis_rostrata,Aeropsis_rostrata,23,3.4820380591609537,0.002114733524319964,Kroh (2004) - Cottreaucorys kollmanni n. sp. (Echinodermata: Echinoidea) and other new records from the Early Paleocene Brunderndof Formation in Austria; MCZ Invertebrate Zoology; NMNH Invertebrate Zoology; The Echinoid Directory; YPM Invertebrate Paleontology
Ammotrophus_cyclius,Ammotrophus_cyclius,1,3.9052540997701843,0.060114642606006685,The Echinoid Directory
Anorthopygus_orbicularis,Anorthopygus_orbicularis,18,3.749271469415174,0.001960685113576731,"Abdelhamid (2014) - Middle-upper Cenomanian echinoids from north Wadi Qena, North Eastern Desert, Egypt; Cotteau & Triger (1860) Echinides de la Sarthe. Terrain Cretace. 1, Etage Turonien J.-B. Bailliere et fils, Paris; Cotteau (1869) - Echinides du d‚partement de la Sarthe: consid‚r‚s au point de vue zoologique et stratigraphique; El Qot et al. (2009) - Taxonomy and palaeoecology of Cenomanian-Turonian (Upper Cretaceous) echinoids from eastern Sinai, Egypt; Gallem¡ Paulet (1992) - Los yacimientos con equ¡nidos del Cret cico Superior del Prepirineo de la provincia de Lleida; MCZ Invertebrate Paleontology; NMNH Paleobiology; The Echinoid Directory; Villalba Curras (1993) - Revision de los equinidos del Cretacico Inferior y Medio espanol; Wagner & Durham (1966) - Holectypoids. In: Treatise on Invertebrate Paleontology - Echinodermata 3, 2"
Antillaster_lamberti,Antillaster,3,5.566635381975067,0.011854976892404175,Cooke (1961) - Cenozoic and Cretaceous echinoids from Trinidad and Venezuela; Kier (1984) - Fossil spatangoid echinoids from Cuba; NMNH Paleobiology
Apatopygus_recens,Apatopygus_recens,20,3.835353627991778,0.004916101996003325,"Brighton (1929) - Tertiary irregular echinoids from the Chatham Islands, New Zealand; Kier (1974) - Evolutionary trends and their functional significance in the postP echinoids; MCZ Invertebrate Zoology; Mooi (1990) - Living Cassiduloids (Echinodermata, Echinoidea) - A key and annotated list; NMNH Invertebrate Zoology; Scripps BIC; Scurry (1979) - A quantitative study of variation within the Mesozoic echinoid Nucleolites; The Echinoid Directory; YPM Invertebrate Zoology"
Arachnoides_placenta,Arachnoididae,42,3.9295657106657615,1.5621307414009032e-5,"Chao (2000) - The irregular sea urchins (Echinodermata: Echinoidea) from Taiwan, with descriptions of six new records; Lee et al. (2018) - Young colonization history of a widespread sand dollar (Echinodermata; Clypeasteroida) in western Taiwan; MCZ Invertebrate Zoology; NMNH Invertebrate Zoology; Scripps BIC; The Echinoid Directory; YPM Invertebrate Zoology"
Araeosoma_fenestratum,Araeosoma,36,5.444912352564852,0.010483882731565392,"Borrero-P‚rez et al. (2002) - Echinoideos (Echinodermata: Echinoidea) colectados en la franja superior del talud continental de caribe colombiano; MCZ Invertebrate Zoology; Mironov (2006) - Echinoids from seamounts of the north-eastern Atlantic; onshore/offshore gradients in species distribution; Mortensen (1935) - A Monograph of the Echinoidea - II. Bothriocidaroida, Melonechinoida, Lepidocentroida and Stirodonta; Schultz (2015) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa); Thompson (1874) - On the Echinoidea of the 'Porcupine' deep-sea dredging-expeditions; Tyler & Gage (1984) - The reproductive biology of echinothuriid and cidarid sea urchins from the deep sea (Rockall Trough, North-East Atlantic Ocean)"
Arbacia_lixula,Arbacia_lixula,28,4.329073046192003,0.0022142151827417764,"Koehler (1921) - Faune de France. Echinodermes; Madeira et al. (2011) - The fossil echinoids of Santa Maria Island, Azores (Northern Atlantic Ocean); Markel (1976) - Struktur und Wachstum des Coronarskeletes von Arbaca lixula Linn‚ (Echinodermata, Echinoidea); MCZ Invertebrate Zoology; NMNH Invertebrate Zoology; Repelin - Echinidea (Echinodermata) du Plateau Continental Gabonais et Congolais en Collection au Centre D'Ocenographie de Pointe-Noire; Schultz (2015) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa); The Echinoid Directory; YPM Invertebrate Zoology"
Archiacia_sandalina,Archiacia_sandalina,22,4.194239061018235,8.762461162565602e-4,"Abdelhamid (2014) - Middle-upper Cenomanian echinoids from north Wadi Qena, North Eastern Desert, Egypt; Hewaidy et al. (2014) - Cenomanian-Turonian bivalves and echinoids from Northern Wadi Kena; Kier (1966) - Cassiduloids. In: Treatise on Invertebrate Paleontology - Echinodermata 3, 2; MCZ Invertebrate Paleontology; The Echinoid Directory; Villalba Curras (1993) - Revision de los equinidos del Cretacico Inferior y Medio espanol"
Aspidodiadema_jacobyi,Aspidodiadema_jacobyi,25,3.138221232431863,0.005464063995332041,Borrero-P‚rez et al. (2002) - Echinoideos (Echinodermata: Echinoidea) colectados en la franja superior del talud continental de caribe colombiano; MCZ Invertebrate Zoology; Mortensen (1940) - A monograph of the Echinoidea - III. Aulodonta; NMNH Invertebrate Zoology; The Echinoid Directory
Asterostoma_pawsoni,Asterostoma_pawsoni,11,5.146973100744914,0.00802649438018143,Kier (1984) - Fossil spatangoid echinoids from Cuba; NMNH Paleobiology; The Echinoid Directory
Astriclypeus_mannii,Astriclypeus_mannii,24,4.879996586273042,0.003167406879184674,"MCZ Invertebrate Zoology; Morishita (1953) - Neogene echinoids from Gifu prefecture, Japan; Nisiyama (1968) - The echinoid fauna from Japan and adjacent regions part 2; NMNH Invertebrate Zoology; The Echinoid Directory; YPM Invertebrate Zoology"
Breynia_australasiae,Breynia_australasiae,20,5.155496923554895,0.004425186878612716,"Agassiz (1872-1874) - Revision of the Echini, Parts 1-4; Clark (1925) - A catalogue of the recent sea-urchins (echinoidea) in the collection of the British Museum (Natural History); Fischer (1966) - Spatangoids. In: Treatise on Invertebrate Paleontology U - Echinodermata 3, 2; MCZ Invertebrate Zoology; Mortensen (1951) -ÿA Monograph of the Echinoidea - V. Spatangoida II; NMNH Invertebrate Zoology; Schultz (2017) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa); The Echinoid Directory"
Brisaster_fragilis,Brisaster_fragilis,50,4.528558192318769,0.001346178038836943,"Agassiz (1872-1874) - Revision of the Echini, Parts 1-4; MCZ Invertebrate Zoology; NMNH Invertebrate Zoology; Schultz (2017) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa); Serafi & Fell (1985) - Marine Flora and Fauna of the Northeastern United States. Echinodermata: Echinoidea; The Echinoid Directory; YPM Invertebrate Zoology"
Brissopsis_atlantica,Brissopsis,93,4.817694665459321,5.420010464544791e-10,Borrero-P‚rez et al. (2002) - Echinoideos (Echinodermata: Echinoidea) colectados en la franja superior del talud continental de caribe colombiano; Chesher (1968) - The systematics of sympatric species in West Indian Spatangoids; Schultz (2017) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa)
Caenopedina_cubensis,Caenopedina,9,3.4416483382743617,0.04033197299343236,"Agassiz (1872-1874) - Revision of the Echini, Parts 1-4; MCZ Invertebrate Zoology; Mortensen (1940) - A monograph of the Echinoidea - III. Aulodonta; NMNH Invertebrate Zoology; The Echinoid Directory"
Calymne_relicta,Calymne_relicta,3,3.876468668675527,8.170428884991639e-4,"Kier (1974) - Evolutionary trends and their functional significance in the postP echinoids; Saucede et al. (2009) - The morphology, ontogeny and inferred behavior of the deep-sea echinoid Calymne relicta (Holasteroida); Thompson (1877) - The voyage of the ?Challenger?. The Atlantic. A primary account of the general results of the exploring voyage of H.M.S. ?Challenger? during the year 1873 and the early part of the year 1876"
